zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
61468,41.2578,-90.3878,Ophiem,IL,Illinois,TRUE,,104,20.6,17073,Henry,{'17073':100},FALSE,FALSE,America/Chicago
61469,40.9641,-90.9062,Oquawka,IL,Illinois,TRUE,,2184,18.5,17071,Henderson,{'17071':100},FALSE,FALSE,America/Chicago
61470,40.6039,-90.5047,Prairie City,IL,Illinois,TRUE,,547,9.5,17109,McDonough,{'17109':100},FALSE,FALSE,America/Chicago
61471,40.6976,-90.8353,Raritan,IL,Illinois,TRUE,,140,167.1,17071,Henderson,{'17071':100},FALSE,FALSE,America/Chicago
61472,41.1022,-90.3829,Rio,IL,Illinois,TRUE,,648,6.3,17095,Knox,{'17095':100},FALSE,FALSE,America/Chicago
61473,40.706,-90.6527,Roseville,IL,Illinois,TRUE,,1667,6.2,17187,Warren,{'17187':100},FALSE,FALSE,America/Chicago
61474,40.7363,-90.3782,Saint Augustine,IL,Illinois,TRUE,,292,4,17095,Knox,"{'17095':95.89,'17187':4.11}",FALSE,FALSE,America/Chicago
61475,40.598,-90.7535,Sciota,IL,Illinois,TRUE,,205,2.7,17109,McDonough,"{'17109':92.68,'17187':7.32}",FALSE,FALSE,America/Chicago
61476,41.0981,-90.8323,Seaton,IL,Illinois,TRUE,,407,3.9,17131,Mercer,"{'17071':8.35,'17131':91.65}",FALSE,FALSE,America/Chicago
61477,40.4961,-90.3155,Smithfield,IL,Illinois,TRUE,,631,4.9,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
61478,40.7578,-90.7606,Smithshire,IL,Illinois,TRUE,,290,3.1,17187,Warren,"{'17071':9.31,'17187':90.69}",FALSE,FALSE,America/Chicago
61479,41.0048,-89.6448,Speer,IL,Illinois,TRUE,,165,5.3,17175,Stark,"{'17123':41.21,'17175':58.79}",FALSE,FALSE,America/Chicago
61480,40.7254,-90.9218,Stronghurst,IL,Illinois,TRUE,,1324,8,17071,Henderson,{'17071':100},FALSE,FALSE,America/Chicago
61482,40.3884,-90.4118,Table Grove,IL,Illinois,TRUE,,650,4.5,17057,Fulton,"{'17057':92.92,'17109':7.08}",FALSE,FALSE,America/Chicago
61483,41.0867,-89.8732,Toulon,IL,Illinois,TRUE,,1961,8,17175,Stark,{'17175':100},FALSE,FALSE,America/Chicago
61484,40.2953,-90.4364,Vermont,IL,Illinois,TRUE,,825,8.3,17057,Fulton,"{'17057':93.58,'17109':4.97,'17169':1.45}",FALSE,FALSE,America/Chicago
61485,41.0217,-90.0983,Victoria,IL,Illinois,TRUE,,560,5,17095,Knox,{'17095':100},FALSE,FALSE,America/Chicago
61486,41.198,-90.5761,Viola,IL,Illinois,TRUE,,1552,13.9,17131,Mercer,{'17131':100},FALSE,FALSE,America/Chicago
61488,41.0322,-90.3183,Wataga,IL,Illinois,TRUE,,1120,16.7,17095,Knox,{'17095':100},FALSE,FALSE,America/Chicago
61489,40.9339,-90.0285,Williamsfield,IL,Illinois,TRUE,,900,7.6,17095,Knox,"{'17095':99.33,'17143':0.67}",FALSE,FALSE,America/Chicago
61490,41.1851,-90.2655,Woodhull,IL,Illinois,TRUE,,1091,10.7,17073,Henry,"{'17073':97.16,'17095':2.84}",FALSE,FALSE,America/Chicago
61491,41.0605,-89.7294,Wyoming,IL,Illinois,TRUE,,2197,8.5,17175,Stark,"{'17123':3.05,'17175':96.95}",FALSE,FALSE,America/Chicago
61501,40.2293,-90.3164,Astoria,IL,Illinois,TRUE,,1921,9.6,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
61516,40.8581,-89.1352,Benson,IL,Illinois,TRUE,,720,8.8,17203,Woodford,{'17203':100},FALSE,FALSE,America/Chicago
