zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
27252,35.5642,-79.3495,Goldston,NC,North Carolina,TRUE,,2003,18,37037,Chatham,{'37037':100},FALSE,FALSE,America/New_York
27253,35.9617,-79.3455,Graham,NC,North Carolina,TRUE,,29827,130.7,37001,Alamance,{'37001':100},FALSE,FALSE,America/New_York
27258,36.0363,-79.326,Haw River,NC,North Carolina,TRUE,,6006,135.9,37001,Alamance,{'37001':100},FALSE,FALSE,America/New_York
27260,35.954,-79.9883,High Point,NC,North Carolina,TRUE,,24023,763.7,37081,Guilford,"{'37081':98.9,'37151':1.1}",FALSE,FALSE,America/New_York
27262,35.9623,-80.0384,High Point,NC,North Carolina,TRUE,,23934,701.6,37081,Guilford,"{'37057':6.37,'37081':93.63}",FALSE,FALSE,America/New_York
27263,35.9093,-79.9379,High Point,NC,North Carolina,TRUE,,21414,212,37151,Randolph,"{'37081':32.06,'37151':67.94}",FALSE,FALSE,America/New_York
27265,36.0096,-80.0305,High Point,NC,North Carolina,TRUE,,46690,428.4,37081,Guilford,"{'37057':16.35,'37067':1.01,'37081':82.64}",FALSE,FALSE,America/New_York
27278,36.086,-79.0861,Hillsborough,NC,North Carolina,TRUE,,24286,92.5,37135,Orange,"{'37063':5.79,'37135':94.21}",FALSE,FALSE,America/New_York
27281,35.186,-79.6267,Jackson Springs,NC,North Carolina,TRUE,,3100,23,37125,Moore,"{'37123':45.55,'37125':54.45}",FALSE,FALSE,America/New_York
27282,35.9957,-79.9283,Jamestown,NC,North Carolina,TRUE,,15906,445.3,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27283,35.952,-79.6372,Julian,NC,North Carolina,TRUE,,3141,46,37081,Guilford,"{'37081':97.61,'37151':2.39}",FALSE,FALSE,America/New_York
27284,36.1184,-80.0774,Kernersville,NC,North Carolina,TRUE,,51136,247.1,37067,Forsyth,"{'37057':1.01,'37067':94.06,'37081':4.93}",FALSE,FALSE,America/New_York
27288,36.4991,-79.7466,Eden,NC,North Carolina,TRUE,,24071,137.2,37157,Rockingham,{'37157':100},FALSE,FALSE,America/New_York
27291,36.402,-79.1661,Leasburg,NC,North Carolina,TRUE,,1662,12.6,37033,Caswell,"{'37033':59.75,'37145':40.25}",FALSE,FALSE,America/New_York
27292,35.7346,-80.2091,Lexington,NC,North Carolina,TRUE,,39787,105.7,37057,Davidson,"{'37057':99.85,'37151':0.15}",FALSE,FALSE,America/New_York
27295,35.8684,-80.315,Lexington,NC,North Carolina,TRUE,,37211,112.6,37057,Davidson,{'37057':100},FALSE,FALSE,America/New_York
27298,35.8858,-79.5671,Liberty,NC,North Carolina,TRUE,,10336,42,37151,Randolph,"{'37001':23.81,'37037':0.36,'37081':15.55,'37151':60.28}",FALSE,FALSE,America/New_York
27299,35.7522,-80.386,Linwood,NC,North Carolina,TRUE,,5190,72.8,37057,Davidson,{'37057':100},FALSE,FALSE,America/New_York
27301,36.1138,-79.6669,Mc Leansville,NC,North Carolina,TRUE,,8750,101.3,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27302,36.1404,-79.2643,Mebane,NC,North Carolina,TRUE,,26412,87.3,37001,Alamance,"{'37001':68.81,'37033':3.38,'37135':27.82}",FALSE,FALSE,America/New_York
27305,36.5195,-79.2288,Milton,NC,North Carolina,TRUE,,1685,24.4,37033,Caswell,"{'37033':97.74,'37145':2.26}",FALSE,FALSE,America/New_York
27306,35.2154,-79.9752,Mount Gilead,NC,North Carolina,TRUE,,6176,13.6,37123,Montgomery,"{'37123':94.82,'37153':5.18}",FALSE,FALSE,America/New_York
27310,36.1727,-79.9932,Oak Ridge,NC,North Carolina,TRUE,,6710,161,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27311,36.4831,-79.4746,Pelham,NC,North Carolina,TRUE,,3402,28.5,37033,Caswell,"{'37033':84.3,'37157':15.7}",FALSE,FALSE,America/New_York
27312,35.7568,-79.1967,Pittsboro,NC,North Carolina,TRUE,,18306,41.6,37037,Chatham,"{'37001':0.29,'37037':99.71}",FALSE,FALSE,America/New_York
27313,35.929,-79.7518,Pleasant Garden,NC,North Carolina,TRUE,,6962,94.6,37081,Guilford,"{'37081':67.05,'37151':32.95}",FALSE,FALSE,America/New_York
27314,36.2917,-79.187,Prospect Hill,NC,North Carolina,TRUE,,1051,15.6,37033,Caswell,{'37033':100},FALSE,FALSE,America/New_York
27315,36.5052,-79.3928,Providence,NC,North Carolina,TRUE,,2243,32.8,37033,Caswell,{'37033':100},FALSE,FALSE,America/New_York
27316,35.6898,-79.6224,Ramseur,NC,North Carolina,TRUE,,6650,37.2,37151,Randolph,{'37151':100},FALSE,FALSE,America/New_York
27317,35.8375,-79.8028,Randleman,NC,North Carolina,TRUE,,16959,122,37151,Randolph,"{'37081':3.14,'37151':96.86}",FALSE,FALSE,America/New_York
27320,36.3424,-79.6578,Reidsville,NC,North Carolina,TRUE,,39351,60.4,37157,Rockingham,"{'37033':5.26,'37081':0.55,'37157':94.19}",FALSE,FALSE,America/New_York
27325,35.4632,-79.5747,Robbins,NC,North Carolina,TRUE,,6704,29.4,37125,Moore,"{'37125':99.43,'37151':0.57}",FALSE,FALSE,America/New_York
27326,36.4532,-79.5562,Ruffin,NC,North Carolina,TRUE,,4008,21.8,37157,Rockingham,"{'37033':33.06,'37157':66.94}",FALSE,FALSE,America/New_York
27330,35.5164,-79.1871,Sanford,NC,North Carolina,TRUE,,37947,71.3,37105,Lee,"{'37037':2.04,'37085':0.03,'37105':97.49,'37125':0.45}",FALSE,FALSE,America/New_York
27332,35.3793,-79.136,Sanford,NC,North Carolina,TRUE,,30236,111.2,37105,Lee,"{'37085':39.78,'37105':60.22}",FALSE,FALSE,America/New_York
27340,35.9459,-79.3169,Saxapahaw,NC,North Carolina,TRUE,,120,819.9,37001,Alamance,{'37001':100},FALSE,FALSE,America/New_York
27341,35.5246,-79.702,Seagrove,NC,North Carolina,TRUE,,5360,21.9,37151,Randolph,"{'37123':10.3,'37125':24.63,'37151':65.07}",FALSE,FALSE,America/New_York
27343,36.5031,-79.0918,Semora,NC,North Carolina,TRUE,,1716,14.4,37145,Person,"{'37033':28.67,'37145':71.33}",FALSE,FALSE,America/New_York
27344,35.7293,-79.432,Siler City,NC,North Carolina,TRUE,,18022,41.9,37037,Chatham,"{'37037':98.4,'37151':1.6}",FALSE,FALSE,America/New_York
27349,35.8984,-79.4163,Snow Camp,NC,North Carolina,TRUE,,5511,34.9,37001,Alamance,"{'37001':94.18,'37037':5.82}",FALSE,FALSE,America/New_York
27350,35.8057,-79.8893,Sophia,NC,North Carolina,TRUE,,6530,67.7,37151,Randolph,{'37151':100},FALSE,FALSE,America/New_York
