zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
77837,31.0073,-96.6872,Calvert,TX,Texas,TRUE,,1587,5.9,48395,Robertson,{'48395':100},FALSE,FALSE,America/Chicago
77840,30.6091,-96.326,College Station,TX,Texas,TRUE,,56171,1937.6,48041,Brazos,{'48041':100},FALSE,FALSE,America/Chicago
77845,30.5625,-96.2756,College Station,TX,Texas,TRUE,,48938,128,48041,Brazos,{'48041':100},FALSE,FALSE,America/Chicago
77853,30.3644,-96.8428,Dime Box,TX,Texas,TRUE,,953,7.3,48287,Lee,{'48287':100},FALSE,FALSE,America/Chicago
77855,31.1454,-96.1408,Flynn,TX,Texas,TRUE,,238,3.6,48289,Leon,{'48289':100},FALSE,FALSE,America/Chicago
77856,31.0733,-96.4238,Franklin,TX,Texas,TRUE,,5096,5,48395,Robertson,{'48395':100},FALSE,FALSE,America/Chicago
77857,30.7844,-96.7087,Gause,TX,Texas,TRUE,,757,4.8,48331,Milam,{'48331':100},FALSE,FALSE,America/Chicago
77859,30.8693,-96.5174,Hearne,TX,Texas,TRUE,,6981,15.9,48395,Robertson,"{'48041':6.46,'48395':93.54}",FALSE,FALSE,America/Chicago
77861,30.7273,-96.096,Iola,TX,Texas,TRUE,,2506,7.6,48185,Grimes,{'48185':100},FALSE,FALSE,America/Chicago
77864,30.9541,-95.9056,Madisonville,TX,Texas,TRUE,,7647,14.7,48313,Madison,{'48313':100},FALSE,FALSE,America/Chicago
77865,31.2303,-96.2281,Marquez,TX,Texas,TRUE,,1798,4.9,48289,Leon,{'48289':100},FALSE,FALSE,America/Chicago
77867,30.7412,-96.5444,Mumford,TX,Texas,TRUE,,105,3.2,48395,Robertson,{'48395':100},FALSE,FALSE,America/Chicago
77868,30.3686,-96.0616,Navasota,TX,Texas,TRUE,,15511,22.1,48185,Grimes,"{'48041':7.65,'48185':91.98,'48473':0.2,'48477':0.17}",FALSE,FALSE,America/Chicago
77871,31.051,-96.1175,Normangee,TX,Texas,TRUE,,3368,6.6,48289,Leon,"{'48289':80.23,'48313':19.77}",FALSE,FALSE,America/Chicago
77872,30.8869,-96.1103,North Zulch,TX,Texas,TRUE,,1716,8.8,48313,Madison,{'48313':100},FALSE,FALSE,America/Chicago
77873,30.5742,-95.8128,Richards,TX,Texas,TRUE,,1292,6.2,48185,Grimes,"{'48185':54.33,'48339':27.17,'48471':18.5}",FALSE,FALSE,America/Chicago
77876,30.5973,-95.8744,Shiro,TX,Texas,TRUE,,197,7.3,48185,Grimes,{'48185':100},FALSE,FALSE,America/Chicago
77878,30.4715,-96.436,Snook,TX,Texas,TRUE,,475,7.3,48051,Burleson,{'48051':100},FALSE,FALSE,America/Chicago
77879,30.3993,-96.4969,Somerville,TX,Texas,TRUE,,4670,9.6,48051,Burleson,{'48051':100},FALSE,FALSE,America/Chicago
77880,30.2814,-96.184,Washington,TX,Texas,TRUE,,1879,7.6,48477,Washington,{'48477':100},FALSE,FALSE,America/Chicago
77901,28.8049,-96.9847,Victoria,TX,Texas,TRUE,,41548,811,48469,Victoria,{'48469':100},FALSE,FALSE,America/Chicago
77904,28.9233,-97.0182,Victoria,TX,Texas,TRUE,,25002,80,48469,Victoria,{'48469':100},FALSE,FALSE,America/Chicago
77905,28.7313,-97.0424,Victoria,TX,Texas,TRUE,,13981,12.9,48469,Victoria,"{'48175':6.77,'48469':93.23}",FALSE,FALSE,America/Chicago
77950,28.3014,-96.8748,Austwell,TX,Texas,TRUE,,197,0.9,48391,Refugio,"{'48007':3.55,'48391':96.45}",FALSE,FALSE,America/Chicago
77951,28.6341,-96.9108,Bloomington,TX,Texas,TRUE,,2616,42.7,48469,Victoria,{'48469':100},FALSE,FALSE,America/Chicago
77954,29.0967,-97.2827,Cuero,TX,Texas,TRUE,,11506,12,48123,DeWitt,"{'48123':99.86,'48177':0.14}",FALSE,FALSE,America/Chicago
77957,29.0377,-96.7004,Edna,TX,Texas,TRUE,,8187,8.4,48239,Jackson,{'48239':100},FALSE,FALSE,America/Chicago
77960,28.6691,-97.2084,Fannin,TX,Texas,TRUE,,121,2.8,48175,Goliad,{'48175':100},FALSE,FALSE,America/Chicago
77961,28.8574,-96.3615,Francitas,TX,Texas,TRUE,,183,1.7,48239,Jackson,{'48239':100},FALSE,FALSE,America/Chicago
77962,29.0226,-96.4895,Ganado,TX,Texas,TRUE,,3286,7.7,48239,Jackson,{'48239':100},FALSE,FALSE,America/Chicago
77963,28.657,-97.4155,Goliad,TX,Texas,TRUE,,5459,3.3,48175,Goliad,{'48175':100},FALSE,FALSE,America/Chicago
77964,29.377,-96.8438,Hallettsville,TX,Texas,TRUE,,7569,5,48285,Lavaca,"{'48089':0.69,'48285':99.31}",FALSE,FALSE,America/Chicago
